game_id,home_yards_gained,away_yards_gained,home_interception,away_interception,home_fumble_forced,away_fumble_forced,home_fumble_not_forced,away_fumble_not_forced,home_fumble_out_of_bounds,away_fumble_out_of_bounds,home_solo_tackle,away_solo_tackle,home_safety,away_safety,home_penalty,away_penalty,home_qb_hit,away_qb_hit,home_rush_attempt,away_rush_attempt,home_pass_attempt,away_pass_attempt,home_fumble,away_fumble,home_complete_pass,away_complete_pass,home_assist_tackle,away_assist_tackle,home_sack,away_sack,home_touchdown,away_touchdown,home_pass_touchdown,away_pass_touchdown,home_rush_touchdown,away_rush_touchdown,home_return_touchdown,away_return_touchdown,home_extra_point_attempt,away_extra_point_attempt,home_two_point_attempt,away_two_point_attempt,home_field_goal_attempt,away_field_goal_attempt,home_kickoff_attempt,away_kickoff_attempt,home_punt_attempt,away_punt_attempt,home_punts_blocked,away_punts_blocked,home_first_down_rush,away_first_down_rush,home_first_down_pass,away_first_down_pass,home_first_down_penalty,away_first_down_penalty,home_third_down_converted,away_third_down_converted,home_third_down_failed,away_third_down_failed,home_fourth_down_converted,away_fourth_down_converted,home_fourth_down_failed,away_fourth_down_failed,home_incomplete_pass,away_incomplete_pass,home_touchback,away_touchback,Winner,score_difference
2009092014,378.0,427.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,48.0,0.0,0.0,4.0,4.0,1.0,2.0,29.0,26.0,29.0,38.0,1.0,0.0,13.0,25.0,6.0,5.0,0.0,0.0,5.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,5.0,7.0,6.0,4.0,5.0,0.0,0.0,15.0,15.0,7.0,7.0,1.0,1.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,A,-2
2009092100,403.0,356.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,58.0,21.0,0.0,0.0,5.0,3.0,1.0,3.0,49.0,11.0,35.0,24.0,1.0,0.0,22.0,14.0,12.0,4.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,2.0,5.0,6.0,1.0,3.0,0.0,0.0,14.0,14.0,13.0,13.0,0.0,0.0,15.0,15.0,6.0,6.0,1.0,1.0,0.0,0.0,10.0,10.0,0.0,0.0,A,-4
2009092700,479.0,186.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,49.0,0.0,0.0,7.0,6.0,2.0,2.0,28.0,23.0,38.0,29.0,1.0,0.0,26.0,17.0,9.0,5.0,1.0,2.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,7.0,4.0,5.0,0.0,0.0,9.0,9.0,17.0,17.0,2.0,2.0,4.0,4.0,7.0,7.0,1.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,H,31
2009092701,275.0,373.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,38.0,0.0,0.0,6.0,3.0,2.0,3.0,19.0,28.0,41.0,32.0,0.0,0.0,20.0,22.0,7.0,15.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,5.0,4.0,5.0,2.0,0.0,0.0,5.0,5.0,12.0,12.0,2.0,2.0,3.0,3.0,9.0,9.0,3.0,3.0,0.0,0.0,17.0,17.0,0.0,0.0,H,3
2009092702,381.0,390.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,49.0,40.0,0.0,0.0,9.0,8.0,4.0,2.0,36.0,14.0,39.0,43.0,1.0,2.0,21.0,27.0,9.0,7.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,3.0,4.0,6.0,5.0,0.0,0.0,6.0,6.0,14.0,14.0,3.0,3.0,10.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,H,5
2009092703,397.0,398.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,30.0,0.0,0.0,3.0,7.0,8.0,8.0,22.0,31.0,37.0,30.0,1.0,1.0,26.0,18.0,20.0,17.0,2.0,0.0,3.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,6.0,5.0,4.0,3.0,0.0,0.0,5.0,5.0,17.0,17.0,1.0,1.0,4.0,4.0,6.0,6.0,1.0,1.0,0.0,0.0,8.0,8.0,0.0,0.0,A,-7
2009092704,377.0,246.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,37.0,0.0,0.0,8.0,8.0,6.0,5.0,27.0,26.0,48.0,26.0,0.0,1.0,24.0,15.0,14.0,12.0,2.0,1.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,4.0,6.0,6.0,9.0,0.0,0.0,2.0,2.0,14.0,14.0,3.0,3.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0,1.0,21.0,21.0,0.0,0.0,H,3
2009092705,445.0,257.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,22.0,14.0,0.0,0.0,5.0,4.0,2.0,3.0,39.0,17.0,42.0,28.0,0.0,2.0,25.0,17.0,39.0,22.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,3.0,7.0,2.0,5.0,0.0,0.0,10.0,10.0,15.0,15.0,3.0,3.0,8.0,8.0,10.0,10.0,3.0,3.0,0.0,0.0,17.0,17.0,0.0,0.0,H,16
2009092706,420.0,196.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,47.0,46.0,0.0,0.0,3.0,10.0,0.0,4.0,27.0,29.0,36.0,22.0,2.0,2.0,24.0,15.0,1.0,5.0,0.0,3.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,3.0,7.0,3.0,9.0,0.0,0.0,7.0,7.0,13.0,13.0,1.0,1.0,6.0,6.0,7.0,7.0,0.0,0.0,1.0,1.0,12.0,12.0,0.0,0.0,H,20
2009092707,336.0,402.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,45.0,0.0,0.0,6.0,6.0,7.0,3.0,33.0,37.0,36.0,25.0,2.0,0.0,19.0,13.0,6.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,3.0,8.0,4.0,4.0,4.0,0.0,0.0,9.0,9.0,11.0,11.0,2.0,2.0,4.0,4.0,10.0,10.0,1.0,1.0,1.0,1.0,15.0,15.0,0.0,0.0,A,-19
