game_id,Winner,score_difference
2014110906,A,-10
2014110907,A,-24
2014110908,H,17
2014110909,H,21
2014110910,H,41
2014111000,H,24
2014111300,H,13
2014111601,H,8
2014111602,A,-16
2014111600,A,-2
2014111605,A,-17
2014111608,A,-20
2014111607,H,15
2014111606,A,-6
2014111604,H,4
2014111609,H,7
2014111610,H,8
2014111603,H,33
2014111611,A,-22
2014111700,A,-3
2014112000,H,4
2014112300,A,-2
2014112307,H,19
2014112306,H,25
2014112305,A,-3
2014112304,H,20
2014112303,A,-9
2014112302,H,8
2014112309,H,16
2014112308,H,3
2014112311,H,4
2014112310,H,3
2014112312,A,-3
2014112301,H,35
2014112400,A,-7
2014112700,H,17
2014112701,A,-23
2014112702,A,-16
2014113003,H,22
2014113002,H,24
2014113001,H,16
2014113000,A,-1
2014113004,H,1
2014113008,A,-1
2014113007,H,52
2014113006,A,-3
2014113005,H,18
2014113009,H,11
2014113010,H,5
2014113011,A,-13
2014120100,A,-3
2014120400,A,-13
2014120700,A,-21
2014120708,A,-24
2014120707,A,-29
2014120706,A,-31
2014120705,H,6
2014120704,A,-15
